day,ts,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23
2013-06-02,1370131200,0.3110568676606412,0.23571711307560364,0.18735981000131943,0.1572107138144874,0.1366934951840612,0.12824910938118486,0.12917271407837447,0.1230373400184721,0.1444121915820029,0.20365483573030743,0.25234199762501647,0.2847341337907376,0.3027444253859348,0.3156089193825043,0.3176540440691384,0.31989708404802747,0.32312970048819106,0.32246998284734135,0.3311122839424726,0.32339358754453096,0.3111888111888112,0.3103971500197915,0.3224040110832564,0.2840744161498878
2013-06-03,1370217600,0.23307824251220477,0.18735981000131943,0.1530544926771342,0.13154769758543344,0.12963451642696927,0.1364955798918063,0.17502309011742975,0.23354004486079957,0.2867132867132867,0.32154637815015175,0.3590183401504156,0.381382768175221,0.39662224567884946,0.41120200554162817,0.42202137485156355,0.416281831376171,0.41865681488323,0.41944847605224966,0.4222192901438184,0.40691384087610505,0.39180630690064655,0.3706293706293706,0.3830980340414303,0.32365747460087085
2013-06-04,1370304000,0.25062673175880723,0.19778334872674494,0.14599551392004223,0.132537274046708,0.12237762237762238,0.1276553635044201,0.1690196595856973,0.21223116506135373,0.27384879271671725,0.30980340414302676,0.32649426045652463,0.3602058319039451,0.38290011874917534,0.3990632009499934,0.4181290407705502,0.4272331442142763,0.4327747723974139,0.43831640058055155,0.4358094735453226,0.42433038659453753,0.40308747855917665,0.39061881514711705,0.3983375115450587,0.3338830980340414
2013-06-05,1370390400,0.26006069402295817,0.19587016756828077,0.16057527378282097,0.13570391872278664,0.12666578704314554,0.1283810529093548,0.1660509302018736,0.1997625016492941,0.2576197387518142,0.2972687689668822,0.33599419448476053,0.3712231165061354,0.39945903153450324,0.42380261248185774,0.45962528037999734,0.4746008708272859,0.49082992479218895,0.49617363768307166,0.4955798918063069,0.4715661696793772,0.4434621981791793,0.43336851827417866,0.4367990500065972,0.38553898931257424
2013-06-06,1370476800,0.30195276421691514,0.23505739543475393,0.19527642169151604,0.16677661960680829,0.14968993270880063,0.16281831376171,0.2006861063464837,0.2606544398997229,0.31112283942472624,0.3479350837841404,0.381382768175221,0.40143818445705237,0.40869507850639925,0.42472621717904735,0.42644148304525664,0.42921229713682546,0.4234727536614329,0.42499010423538724,0.42314289484100803,0.4053964903021507,0.3892993798654176,0.38553898931257424,0.39490697981264017,0.344240664995382
2013-06-07,1370563200,0.26685578572371027,0.20893257685710515,0.16756828077582794,0.14104763161366934,0.13926639398337512,0.14447816334608787,0.1734397677793904,0.21902625676210583,0.2702203456920438,0.3074943924000528,0.32359150283678584,0.34410872146721205,0.3570391872278665,0.3662752341997625,0.3679905000659718,0.3714210317983903,0.3563794695870168,0.34654967673835596,0.3285393851431587,0.31501517350573954,0.2923868584245943,0.2801820820688745,0.290671592558385,0.2553766987729252
2013-06-08,1370649600,0.19210977701543738,0.13755112811716586,0.10166248845494129,0.07329462989840348,0.06867660641245547,0.06847869112020055,0.07586752869771737,0.09123894972951577,0.11683599419448476,0.15668293970180763,0.20134582398733342,0.2318247789945903,0.2472621717904737,0.27008840216387386,0.2867132867132867,0.30267845362184986,0.318643620530413,0.32754980868188416,0.34160179443198313,0.33117825570655757,0.31686238290011876,0.29759862778730706,0.30109513128381055,0.2577516822799842
2013-06-09,1370736000,0.19263755112811717,0.13524211637419184,0.10139860139860139,0.07500989576461274,0.059374587676474466,0.05126006069402296,0.057461406518010294,0.05297532656023222,0.08008972159915556,0.13774904340942076,0.19276949465628712,0.24007124950521178,0.2888243831640058,0.3319039451114923,0.35789682016097113,0.3776883493864626,0.39312574218234597,0.4085631349782293,0.41522628315081145,0.3962923868584246,0.38732022694286844,0.38355983639002506,0.3716189470906452,0.3285393851431587
2013-06-10,1370822400,0.2707481198047236,0.2211373532128249,0.1835334476843911,0.16737036548357304,0.1569468267581475,0.1637419184588996,0.20081804987465365,0.26250164929410214,0.3237894181290408,0.35816070721731097,0.3925319963055812,0.4298060430135902,0.4501913181158464,0.45678849452434356,0.46839952500329857,0.4765140519857501,0.4747328143554559,0.4905000659717641,0.4810001319435282,0.46688217442934427,0.43897611822140126,0.41496239609447155,0.41483045256630163,0.36429608127721336
2013-06-11,1370908800,0.2820952632273387,0.22008180498746535,0.17469323129700487,0.15496767383559837,0.14216915160311386,0.1539780973743238,0.188415358226679,0.24020319303338172,0.2938382372344637,0.34061221797070856,0.3704974271012007,0.42188943132339357,0.45784404274970314,0.48819105422879006,0.5147117033909486,0.5400448607995778,0.5562739147644808,0.579166116901966,0.5866209262435678,0.5757355851695475,0.5423538725425517,0.5164269692571579,0.5131283810529094,0.4490697981264019
2013-06-12,1370995200,0.35921625544267055,0.28057791265338433,0.2281303602058319,0.19356115582530678,0.18056471830056736,0.18571051589919516,0.2155297532656023,0.26434885868848135,0.32781369573822405,0.38863966222456786,0.44873993930597705,0.5089721599155561,0.5617495711835334,0.6151867000923604,0.6554954479482782,0.693231297004882,0.7119013062409288,0.7371684918854731,0.746470510621454,0.7168491885473017,0.6886792452830188,0.6562211373532129,0.6514711703390949,0.5595725029687294
